 ,OH6416, OH6416, OH6416, OH6432, OH6432, OH6432, OH6464, OH6464, OH6464, OH6416FFT, OH6416FFT, OH6416FFT, OH6432FFT, OH6432FFT, OH6432FFT, OH6464FFT, OH6464FFT, OH6464FFT, ntru-hps2048509, ntru-hps2048509, ntru-hps2048509, ntru-hps2048677, ntru-hps2048677, ntru-hps2048677, ntru-hps4096821, ntru-hps4096821, ntru-hps4096821, ntru-hrss701, ntru-hrss701, ntru-hrss701, ntrulpr653, ntrulpr653, ntrulpr653, ntrulpr761, ntrulpr761, ntrulpr761, ntrulpr857, ntrulpr857, ntrulpr857, sntrup653, sntrup653, sntrup653, sntrup761, sntrup761, sntrup761, sntrup857, sntrup857, sntrup857, FrodoKEM-640, FrodoKEM-640, FrodoKEM-640, FrodoKEM-976, FrodoKEM-976, FrodoKEM-976, FrodoKEM-1344, FrodoKEM-1344, FrodoKEM-1344, kyber512, kyber512, kyber512, kyber768, kyber768, kyber768, kyber1024, kyber1024, kyber1024, BabyBear, BabyBear, BabyBear, MamaBear, MamaBear, MamaBear, PapaBear, PapaBear, PapaBear
case No., KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns)
19, 269, 574, 2145, 1412, 1697, 6540, 4406, 4396, 9366, 35351, 54964, 399153, 110544, 100381, 448072, 164921, 188967, 308959, 35818367, 899801, 2402987, 61414320, 1420302, 4186280, 87265387, 2332858, 6134056, 66515200, 1689167, 4839709, 6337726, 13966026, 17915442, 8376955, 18326937, 27036580, 10657934, 22690272, 31904769, 62581495, 8708842, 20172783, 79336677, 10695574, 27491474, 102099707, 13051321, 33382459, 509053, 3509148, 2732109, 1004710, 6350529, 6729395, 1903986, 11633394, 11498252, 184782, 219498, 266484, 275754, 331698, 368306, 458624, 513251, 499642, 592831, 692585, 1525528, 1045403, 1315672, 3012090, 1739572, 2040136, 4283832
20, 264, 547, 2181, 1380, 1570, 6444, 4453, 4425, 9295, 49556, 53687, 338449, 92975, 87046, 434950, 152493, 152355, 386078, 32839749, 986930, 2369496, 63227364, 1573839, 3856831, 91886179, 2253282, 6575179, 68084830, 1563789, 4600887, 6440676, 13005893, 19880142, 9066228, 17729142, 24257012, 11615738, 22914029, 34594627, 56863553, 7818053, 20419861, 82179194, 10138556, 27733574, 102725721, 13052581, 34082058, 515487, 3003572, 2991951, 1086228, 5099016, 5922040, 2122739, 11499987, 12027689, 138375, 207670, 275594, 339825, 330399, 580633, 462908, 514615, 681145, 599590, 656809, 1358400, 1222400, 1283077, 2646890, 1860103, 2139871, 4493030
21, 271, 572, 2136, 1365, 1911, 6313, 4384, 4424, 9755, 37087, 36894, 339186, 89495, 95928, 388961, 189795, 190775, 402613, 33197253, 976950, 2440602, 58721666, 1645421, 4176885, 91038464, 2381247, 6428315, 66005283, 1563291, 5071805, 6342129, 13782159, 18826616, 8541093, 18384517, 27292826, 11049421, 24831854, 34974582, 55611212, 7971529, 20927604, 79221708, 10246603, 25479557, 100316597, 12163510, 34154978, 696682, 2972867, 2771489, 1005653, 5175521, 5197407, 1979423, 11563088, 12143142, 137525, 230348, 251186, 269230, 377447, 384855, 565599, 539832, 655115, 461165, 649880, 1330774, 1159413, 1479232, 2624329, 1931686, 2006970, 4028590
22, 267, 550, 2152, 1611, 1588, 6555, 4555, 4584, 9694, 50933, 34550, 438446, 87348, 150699, 313691, 153195, 151908, 306950, 33844820, 1167949, 3597910, 59012483, 1623969, 4040700, 89788740, 2304770, 6771687, 66467955, 1543851, 4623469, 6312407, 13160068, 22415100, 8684524, 18600427, 32524543, 11664868, 22414166, 35641494, 57906184, 7739529, 20359327, 85917380, 11499460, 25631917, 97230734, 13499512, 32747720, 602387, 2934637, 2870515, 987495, 5275547, 5552262, 2158021, 12597130, 11419993, 249270, 403545, 274925, 233823, 351490, 464600, 422510, 541643, 631308, 504082, 647483, 1488769, 1281145, 1275247, 2762095, 1834852, 2042169, 4194591
23, 332, 600, 2157, 1420, 1530, 24894, 4640, 4553, 9807, 36032, 50754, 375839, 74955, 77346, 365209, 192110, 172386, 366016, 34458332, 979364, 2342303, 60258983, 1630469, 4479184, 86414169, 2361356, 6178286, 65280846, 1583320, 4369841, 7533218, 12997853, 18922435, 9516199, 18136795, 26541707, 11473143, 23295507, 34984008, 59732063, 7973467, 19665719, 77003221, 12193792, 26635981, 96099865, 14077559, 32924671, 596996, 2961906, 3051984, 1023256, 5247725, 5736415, 1922831, 11644692, 11675715, 164943, 219179, 262001, 314709, 349650, 403524, 385006, 574999, 614554, 705984, 666587, 1402366, 1008258, 1271459, 2613468, 1752613, 2018335, 4398898
24, 263, 564, 2206, 1417, 1620, 6512, 4699, 4764, 9674, 52774, 50464, 332374, 101906, 110737, 368363, 155347, 258471, 394739, 34274447, 1020656, 2609353, 62761850, 1584299, 3878936, 87852914, 2398922, 6231782, 68508128, 1750126, 4578568, 7199014, 13361282, 19398559, 9052411, 17749550, 25468048, 10998793, 23487863, 34174614, 59313913, 7563710, 20938201, 85274597, 9961511, 28050505, 103081962, 11966542, 32875571, 526664, 3094755, 3736260, 1087490, 5158147, 5609077, 1992789, 12784198, 11394448, 147330, 246812, 263098, 252527, 364511, 397340, 462192, 538022, 672505, 503259, 789732, 1357345, 1007034, 1185498, 2764486, 1803708, 2041123, 4190435
25, 274, 550, 2126, 1449, 1549, 6340, 4879, 4389, 9337, 53442, 37048, 330857, 88506, 75818, 386707, 195386, 163115, 355242, 34325143, 901778, 2396795, 61239908, 1568929, 3867032, 86967790, 2389723, 6109275, 66169653, 1507403, 4505870, 6618423, 13258640, 19413730, 9042941, 18317114, 25872483, 11212126, 22977228, 33321920, 57480417, 8860257, 18070717, 87693945, 10550055, 26490202, 97939545, 12932093, 32758812, 632297, 2904273, 3005184, 1054053, 6086915, 6183820, 1872290, 11757634, 11165880, 150400, 261097, 224379, 302493, 364921, 389950, 415265, 507345, 686701, 530250, 941458, 1637285, 990976, 1149582, 2564481, 2006251, 1986881, 4226276
26, 268, 554, 2133, 1557, 1585, 24756, 4513, 22913, 9370, 49155, 35536, 371471, 92216, 77451, 349964, 167380, 156463, 395231, 33143907, 946644, 2426112, 61314903, 1654307, 4524148, 88858412, 2228907, 6351231, 64855609, 1595893, 4668248, 7476024, 12626052, 19368127, 8560122, 17624921, 26320924, 11609649, 22622481, 33080352, 61074653, 7807604, 21931956, 83272832, 11276802, 27331290, 101864409, 12947722, 32357411, 518144, 2673623, 3444313, 1648789, 5258441, 5183351, 1888108, 11377097, 12457661, 134025, 180974, 270056, 283837, 480975, 455090, 438403, 519203, 616950, 826043, 827979, 1715290, 1071472, 1346791, 2636085, 1757034, 2151399, 4227455
27, 266, 549, 2179, 1390, 1580, 30855, 4345, 4364, 9335, 36593, 35363, 344618, 72093, 74636, 455055, 172920, 174598, 350712, 35851549, 799808, 2430913, 60010326, 1652081, 4102684, 88744764, 2302001, 6229065, 65678295, 1545772, 4602979, 6471168, 13841652, 19903664, 8647978, 18870722, 26338614, 10485375, 22794108, 33280064, 58837842, 8090050, 21266032, 81064538, 10101131, 27363597, 101095279, 13440459, 33516394, 741458, 2824228, 3065834, 1077721, 5226674, 5753016, 1988952, 11484930, 11742270, 132730, 239379, 277834, 344216, 331359, 365259, 449798, 493687, 654942, 462683, 676780, 1439351, 1030484, 1267462, 2706576, 2206408, 1959033, 4209633
28, 274, 568, 2141, 1373, 1539, 6259, 4373, 4382, 9493, 47237, 34523, 378179, 76232, 78462, 323156, 243086, 175380, 334708, 35793897, 905781, 2333558, 63507726, 1682352, 4299982, 89478010, 2143429, 5762128, 66517481, 1505906, 5825534, 6489258, 13617586, 18746806, 8639678, 17896885, 29634521, 11026917, 21692010, 33575840, 56608590, 8096835, 18240295, 78684956, 9889066, 27017955, 102035944, 12472677, 34189735, 516883, 3037894, 3292354, 1075373, 5092173, 5466488, 1990842, 11573167, 11485649, 168717, 223428, 267419, 255430, 440822, 450984, 422384, 461115, 605780, 582087, 741716, 1360151, 970692, 1182056, 2740084, 1888341, 2063454, 4179511
