 ,OH6416, OH6416, OH6416, OH6432, OH6432, OH6432, OH6464, OH6464, OH6464, OH6416FFT, OH6416FFT, OH6416FFT, OH6432FFT, OH6432FFT, OH6432FFT, OH6464FFT, OH6464FFT, OH6464FFT, ntru-hps2048509, ntru-hps2048509, ntru-hps2048509, ntru-hps2048677, ntru-hps2048677, ntru-hps2048677, ntru-hps4096821, ntru-hps4096821, ntru-hps4096821, ntru-hrss701, ntru-hrss701, ntru-hrss701, ntrulpr653, ntrulpr653, ntrulpr653, ntrulpr761, ntrulpr761, ntrulpr761, ntrulpr857, ntrulpr857, ntrulpr857, sntrup653, sntrup653, sntrup653, sntrup761, sntrup761, sntrup761, sntrup857, sntrup857, sntrup857, FrodoKEM-640, FrodoKEM-640, FrodoKEM-640, FrodoKEM-976, FrodoKEM-976, FrodoKEM-976, FrodoKEM-1344, FrodoKEM-1344, FrodoKEM-1344, kyber512, kyber512, kyber512, kyber768, kyber768, kyber768, kyber1024, kyber1024, kyber1024, BabyBear, BabyBear, BabyBear, MamaBear, MamaBear, MamaBear, PapaBear, PapaBear, PapaBear
case No., KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns)
19,500,947,3528,3063,3633,13226,14285,10252,20151,28943,45660,254217,56818,56334,226149,119433,119196,237651,41913250,903285,2290988,73578507,1523252,4050511,109171003,2278076,5794647,87599773,1481991,4276473,7991901,14662037,21435172,10689829,19577794,28878593,15504349,25303101,39624119,68605524,7692946,21645646,100014780,10764060,31617210,117567558,13115140,38073492,753396,3175722,3166936,1635974,7020957,6797413,2926734,68018211,67339284,168454,235135,293318,329009,401430,506290,442464,538245,679543,673828,881979,1827405,1392487,1609448,3436843,2377828,2684711,5695783
20,459,911,3417,3063,3532,12966,10382,10123,20049,32612,31341,248929,56280,56298,227573,118809,117771,235526,43057004,899569,2314287,77084539,1548213,4072180,109234000,2281066,5954665,79940237,1473480,4468571,7570489,14377851,21553574,10364626,19300608,29513843,14273268,25020427,37910590,68840395,7461561,21841656,100521310,10963937,44727462,126220910,12910407,37728101,828135,3215426,3116860,1542518,6994121,7139567,3721941,67350722,67263946,167960,228863,286075,299818,427854,521516,431627,525171,615869,669871,834388,1852963,1368990,2067640,4408165,2397622,2764335,5437771
21,517,985,3509,3055,3625,13100,10290,10078,20113,23078,23154,185582,56182,56826,229294,119907,117808,235251,41789720,886149,2167485,73261325,1569219,3828299,109266356,2240648,5727377,81244321,1501764,4314569,7745467,14654715,21554537,10526194,19286002,28885212,13954074,25284921,36908495,68516957,7609359,21858218,98101882,10554408,31151338,117916951,13057678,37286678,795814,3234499,3340267,1735633,6967562,6946189,2951849,67728872,67393093,172396,306257,319989,332232,398831,470112,431133,525614,674486,674783,857537,1744129,1390240,1738818,3635698,2247017,2675505,5500768
22,447,907,3411,3030,3597,13219,10167,10137,20038,24237,23064,185056,55151,57923,226764,118668,118188,237003,42629949,867754,2373033,73853804,1485286,4007680,117347649,2275639,5663215,80955753,1456501,4464122,7652466,14215325,21415641,10427076,19393513,28861567,13159913,25661936,36534945,69045649,7717698,21702640,96714866,13596681,36223748,119734408,13283714,37715781,813640,3126448,3414129,1623639,6920051,6725521,3002386,68336129,67218180,159304,222786,309994,307036,388576,467486,442684,538751,631776,621405,854327,1694197,1512253,1668701,3340531,2499442,2688443,5810390
23,464,867,3289,3066,3576,13205,10164,10108,20030,22802,24423,184710,55044,57751,226606,141114,118132,242251,42439465,903682,2329079,73951912,1568484,3805918,109080574,2190440,5649035,80885285,1534119,4288929,7465544,14506964,22032632,10116264,19466454,29100458,13673051,25405361,37387722,69004180,7831631,21443237,103597338,10789308,31731132,119003944,13006045,37584434,914470,3153088,3236866,1668847,6704268,6620980,3003085,67265208,67687441,167459,234834,294891,307176,478925,448229,444471,539035,635164,621692,900558,1840911,1341753,1620309,3433091,2442337,2706989,5660750
24,401,995,3448,3069,3608,13168,10171,10161,20001,22954,23479,187387,54969,57994,227261,120650,114699,231841,41871323,850195,2401253,74223694,1624859,3981934,109893542,2310477,5696949,80258256,1545412,4371038,7630907,14040775,21147038,10212506,19760026,29325783,13895616,25830406,38466408,69204357,7905150,22023170,104043554,10544100,30731987,118121927,13206106,37609308,775234,3265433,3434650,1552755,6838193,6954081,2860264,71771240,66891257,174677,234847,312265,324887,367722,443897,443900,600071,632029,655843,857894,1753230,1349713,1660866,3521443,2301536,2727632,5686907
25,526,860,3383,3055,3646,13253,10103,10075,19986,22905,24536,184700,54908,57934,235301,115845,114587,229182,42446426,900720,2227811,74121749,1530970,4207802,109689421,2206550,6009847,80475048,1592681,4337539,7790945,14318867,21650153,10137885,19176085,29218193,13428386,25402255,39365894,69338884,7897495,21711333,97475914,10227755,30721143,118300959,13122807,37717777,834588,3389346,3224382,1543734,6932943,6962878,2948153,66211308,66777412,175383,274261,294130,291534,371038,551113,442772,567589,633410,621312,812816,1758279,1740405,1727543,4428339,2333424,2682876,5463497
26,503,854,3293,3041,3618,13246,10225,10061,19960,22891,23067,186549,55004,57943,227988,115709,116246,237568,42148002,873642,2221316,73494053,1485145,4087797,108927816,2197091,5791246,81224251,1508531,4313349,7932459,14254742,20971205,10416382,19696511,31501924,13239091,25371929,37728530,69242162,7849091,21644643,96459221,10206623,29131208,118407364,13026221,38010138,888844,3511474,3324852,1632489,6991198,6949018,2947970,68403489,66952499,168558,235897,295546,292114,383187,479298,443499,565378,642738,706484,857703,1794458,1459953,1703440,3450751,2338653,3019485,5746214
27,466,861,3491,3068,3621,13110,10177,10054,19941,24202,23136,185724,54905,57735,227422,124170,114787,229472,42657707,899718,2267513,73569044,1567250,3880902,109167443,2313542,5725399,80775593,1569655,4322422,7622756,14006777,21138752,10431857,19950113,32622931,13040830,25311442,37930156,69416583,7820642,21972122,104674852,12281263,30821795,118749732,12887358,37465160,803355,3355783,3151774,1543118,6970702,6980769,2930673,67360914,67039028,167880,234271,293995,299570,379510,456560,454056,575636,649860,646336,902087,1788061,1370949,1613984,3476689,2367209,2633591,5904426
28,527,980,3450,3054,3592,13072,10220,10048,19980,22907,23065,184890,54992,57799,226335,118550,114569,229485,41689087,952353,2342131,73814484,1589499,3940049,108351872,2237543,5811005,79557427,1502391,4173700,7585345,14599681,21273315,10361722,19313892,28833729,13252720,25180339,37806169,68974961,7785273,22043742,99918297,10600835,31620842,117848790,13231879,37972832,877201,3174194,3222566,1637220,6906782,6951344,2761473,67812923,67123112,167904,233906,315387,299306,380612,447670,456238,556222,633346,679537,863801,1758577,1341448,1627209,3622438,2446237,2762963,5464356
29,454,867,3322,3068,3612,13206,10149,10168,19930,24177,23064,184568,54908,57900,226272,141569,148506,231317,42687990,891740,2373494,73431441,1561604,3989616,108725339,2276814,5729311,80365140,1487861,4249477,7642048,13910012,21332954,10578420,19479295,29025350,13447603,24686730,36727101,69500978,7948332,21711203,95427647,10644558,33635743,118165549,13282811,37875099,815717,3261372,3072178,1596824,7084319,6727311,2841417,66838257,67706680,168106,234712,292216,283627,391528,432394,443421,539575,630667,655853,880866,1777057,1455832,1795652,4059144,2263580,2760638,5693505
30,423,863,3286,3082,3619,13156,10181,10042,19912,22787,24399,184715,54915,57780,227883,123754,117747,275938,41753424,898416,2389513,72798578,1541191,3928677,108906344,2221598,5903557,79175049,1500676,4159225,7583274,14187826,21802964,10013220,19287678,29040915,13136526,25032918,36895630,68697880,7977646,21998568,100199629,12306933,31720305,117975325,13049906,37970663,893771,3237975,3193145,1712210,6914899,7019102,2871549,68039177,67467333,168235,234729,294496,283284,360194,431795,443950,538548,632282,621900,907823,1678548,1528228,1738397,3466758,2413104,2886109,5552590
31,428,1002,3531,3043,3602,12779,10143,8083,19991,22856,23408,208677,54902,59814,225940,113307,115352,285320,42722475,901152,2282285,72942704,1539987,3766435,109161283,2310741,5694587,79707464,1507483,4352290,7683703,14349076,21352829,10457755,19680779,29252088,12786277,24337362,37136540,68688036,7796131,21665654,100792734,10528845,38135474,118626715,13322173,37053294,793325,3294893,3916008,1718317,7072482,6905481,2828836,66688639,67049401,164083,228602,285144,282560,386290,432664,443965,540556,634236,637993,870516,1756970,1369420,1613737,3396452,2494686,2801220,5507383
32,508,925,3341,3053,3628,13186,10093,10053,35963,22904,24399,184716,54806,57791,226521,148618,123712,252644,41652176,897189,2329174,73252387,1592950,3968126,107982611,2270214,5651644,78521800,1528301,4253485,7737430,14272242,21652592,10594276,19808697,29584890,12992945,24419850,37878350,69252580,7657223,22179337,96545588,10775834,34662417,118086038,13820063,38044578,819705,3311812,3102983,1594232,6846985,6838046,2803392,67687722,67606519,163954,227908,308915,291459,399481,431818,443462,542846,634102,656164,857382,1787416,1309198,1601761,3481210,2460280,2676688,5681763
33,434,885,3308,3054,3613,13045,8036,17933,19979,22875,23052,184974,56288,56301,227203,119253,117652,237078,42484740,921372,2232168,73028820,1523221,3988334,108674169,2203690,5824888,79434944,1440016,4176548,7679008,14210776,21138435,10341591,19575910,29153448,13062052,24744023,36880289,68904845,7885541,21917823,100998169,10819068,30776734,118447353,12952287,37309707,859329,3153595,2978430,1560778,7058139,6893917,2933556,67085130,67409974,210920,221876,284598,282715,367896,445625,482151,540583,681130,621307,859428,1783530,1592617,1669314,3439071,2376139,2702639,5651877
34,425,885,3538,3059,3632,13008,10094,10052,20004,24176,23136,185262,56387,56317,226238,119731,118387,236240,42004933,952691,2383675,73594733,1565728,3887590,108822911,2264971,5655397,79529077,1422143,4308114,7399946,14280612,21467521,10342677,19829401,29703352,12961326,25865017,36756219,68748523,7854608,21917387,102923606,10342612,32498063,118175680,13373178,36996291,936662,3262390,3236490,1546202,6929733,7981716,2784341,66883691,67475513,159156,223534,278071,306203,430869,514145,473869,549184,650100,700179,835035,1947748,1384248,1715429,3385087,2386177,2835916,5550041
35,497,984,3409,3083,3579,13259,10077,10031,19989,22881,23093,185923,56326,56308,227766,119325,119691,235872,42092014,886009,2680917,72896732,1573399,4023391,109884871,2237386,5958289,79481999,1471069,4317014,7974050,14215743,21567318,10067513,19390881,29420413,13113039,24672407,37477677,68545503,8029759,22054093,103695370,10980769,32698534,117891638,13303574,37981426,799608,3272565,2954202,1611468,6843178,7078968,3320390,67132293,67378516,182544,223654,278282,299398,379010,456249,477379,553628,650489,670721,891903,1806054,1323171,1589092,3403169,2334004,2700333,5521390
36,450,892,3354,3070,3613,13134,10217,10073,19925,22854,23101,186191,56307,56287,223326,118874,136447,245060,41919684,900211,2241764,73225879,1698508,3968166,109588500,2197605,5893226,79413754,1484176,4267124,7476974,14163456,21091282,10713235,19985634,29654704,12754324,25576363,36715613,68846806,8116478,21717922,97711459,11712654,29981602,118366580,12916026,37672394,806336,3374774,3108979,1549721,7001129,6972165,2972510,67466512,67433955,159083,221543,279897,302957,398739,516020,455965,726396,670967,661039,858387,1773065,1337279,1658074,3331001,2461486,2754389,5439949
